# repo=endojs/endo-but-for-bots commit=eb47ab6749b12dcdec261e5a2373200038b5c3e2 generator=export-index/1
# name	specifier	package	def	kind	arity	shape	tokens	private
ABSOLUTE_MIN_PERIOD_MS	@endo/reminder/src/scheduler.js	@endo/reminder	packages/reminder/src/scheduler.js:41	const				1
ANNOTATION_MODES	@endo/reminder/src/scheduler.js	@endo/reminder	packages/reminder/src/scheduler.js:70	const				1
AttenuatorInterface	@endo/daemon/src/interfaces.js	@endo/daemon	packages/daemon/src/interfaces.js:601	const				1
BackendNameShape	@endo/sandbox/interfaces.js	@endo/sandbox	packages/sandbox/src/interfaces.js:24	const				1
BackendProbeDetailsShape	@endo/sandbox/interfaces.js	@endo/sandbox	packages/sandbox/src/interfaces.js:109	const				1
BackendProbeShape	@endo/sandbox/interfaces.js	@endo/sandbox	packages/sandbox/src/interfaces.js:122	const				1
BackendSelectorShape	@endo/sandbox/interfaces.js	@endo/sandbox	packages/sandbox/src/interfaces.js:33	const				1
BasicCredentialInterface	@endo/exo-git	@endo/exo-git	packages/exo-git/src/interfaces.js:450	const				0
BasicCredentialInterface	@endo/exo-git/src/interfaces.js	@endo/exo-git	packages/exo-git/src/interfaces.js:450	const				0
BasicCredentialInterface	@endo/exo-git/types-index.js	@endo/exo-git	packages/exo-git/src/interfaces.js:450	const				0
BearerCredentialInterface	@endo/exo-git	@endo/exo-git	packages/exo-git/src/interfaces.js:446	const				0
BearerCredentialInterface	@endo/exo-git/src/interfaces.js	@endo/exo-git	packages/exo-git/src/interfaces.js:446	const				0
BearerCredentialInterface	@endo/exo-git/types-index.js	@endo/exo-git	packages/exo-git/src/interfaces.js:446	const				0
BlobInterface	@endo/daemon/src/interfaces.js	@endo/daemon	packages/daemon/src/interfaces.js:633	const				1
BlobRefInterface	@endo/platform/fs/extended	@endo/platform	packages/platform/src/fs/extended/type-guards.js:417	const				0
BlobRefInterface	@endo/platform/fs/extended/types-index.js	@endo/platform	packages/platform/src/fs/extended/type-guards.js:417	const				0
BufferReader	@endo/ocapn/syrup	@endo/ocapn	packages/ocapn/src/syrup/buffer-reader.js:15	class		7f83513df9ec	924	0
BufferWriter	@endo/ocapn/syrup	@endo/ocapn	packages/ocapn/src/syrup/buffer-writer.js:23	class		3f616c4a4696	631	0
